,p,p|f=0,p|f=1,std,H,IG,IG ratio
"IPouts_(1664, 3091]",0.047063253012048195,0.36072698538127224,0.376,0.2117741797952995,0.27378839165757896,3.2521538617769075e-05,0.00011878348245839086
"IPouts_(3091, 4518]",0.9439006024096386,0.38926174496644295,0.35979258077383325,0.23011357017863848,0.3117623095097456,0.00014231498940830978,0.00045648555026457123
"HA_(145.154, 762.333]",0.017319277108433735,0.36091954022988504,0.391304347826087,0.13045811492151446,0.12611216151182053,4.857218996512369e-05,0.0003851507212535645
"HA_(762.333, 1377.667]",0.42055722891566266,0.40350877192982454,0.3034914950760967,0.4936485046289997,0.9817124568894782,0.007687953308118667,0.007831166095699426
"HA_(1377.667, 1993]",0.5621234939759037,0.3069647463456578,0.40388479571332886,0.49612566099349253,0.9888355026179251,0.0072788182256677825,0.007361000091923516
"HRA_(-0.241, 80.333]",0.3429969879518072,0.3489971346704871,0.38529088913282106,0.47471049515236646,0.9276577843522114,0.0009238782358688136,0.0009959257082222007
"HRA_(80.333, 160.667]",0.47853915662650603,0.38122743682310467,0.33988985051140835,0.499539219883379,0.9986706739039934,0.001334202275959817,0.0013359782266802397
"HRA_(160.667, 241]",0.17846385542168675,0.35884509624197986,0.37341772151898733,0.3829027392559531,0.676704976175281,9.695572404966324e-05,0.00014327620966769666
"BBA_(4.178, 279]",0.047063253012048195,0.35796128012643225,0.432,0.2117741797952995,0.27378839165757896,0.0007509789751060092,0.0027429175158209113
"BBA_(279, 553]",0.6961596385542169,0.4114002478314746,0.33964305029745806,0.4599145531533914,0.8859347899487594,0.0033714981513476294,0.0038055827467195747
"BBA_(553, 827]",0.2567771084337349,0.3454913880445795,0.40762463343108507,0.43685538226987086,0.8218439368546753,0.002278266818731556,0.0027721404473102737
"SOA_(-1.45, 483.333]",0.19728915662650603,0.35412757973733583,0.39122137404580154,0.3979524410078749,0.716473164129987,0.000675369578211904,0.0009426306692617092
"SOA_(483.333, 966.667]",0.5429216867469879,0.3525535420098847,0.36893203883495146,0.4981543222805455,0.9946777810458465,0.0002081864850551618,0.00020930042775889262
"SOA_(966.667, 1450]",0.25978915662650603,0.3748728382502543,0.32318840579710145,0.4385188145630678,0.8264280402645461,0.0016232473294347516,0.0019641726204197253
"E_(53.417, 248.333]",0.8268072289156626,0.41956521739130437,0.3492714025500911,0.37841384108997905,0.6649566301835856,0.002176373884874905,0.003272956138919973
"E_(248.333, 442.667]",0.1381777108433735,0.35255570117955437,0.41689373297002724,0.34508641101828075,0.5794464324958608,0.0015156118034181931,0.0026156202168507088
"E_(442.667, 637]",0.035015060240963854,0.35895435037065937,0.43010752688172044,0.18381786038708078,0.218949786486473,0.000522654274793144,0.002387096526469708
"DP_(28.812, 91.667]",0.05609939759036144,0.35939369764658957,0.3959731543624161,0.2301135701786385,0.3117623095097456,0.00021879538303681834,0.0007018019060125639
