,p,p|f=0,p|f=1,std,H,IG,IG ratio
"E_(53.417, 248.333]",0.8268072289156626,0.6195652173913043,0.6261384335154827,0.37841384108997905,0.6649566301835856,1.9013793530198164e-05,2.859403556130978e-05
"E_(248.333, 442.667]",0.1381777108433735,0.6273481869812145,0.6103542234332425,0.34508641101828075,0.5794464324958608,0.00010540154551852421,0.0001819004132349665
"E_(442.667, 637]",0.035015060240963854,0.6238782676550917,0.6559139784946236,0.18381786038708078,0.218949786486473,0.00010795033185873049,0.0004930369359615694
"DP_(28.812, 91.667]",0.05609939759036144,0.625847626645393,0.610738255033557,0.2301135701786385,0.3117623095097456,3.703467131321858e-05,0.00011879136824286609
"DP_(91.667, 154.333]",0.639683734939759,0.6269592476489029,0.6238964096527368,0.4800921309428833,0.9429453998562933,6.6567726775268454e-06,7.0595526300264575e-06
"DP_(154.333, 217]",0.3042168674698795,0.6228354978354979,0.629950495049505,0.4600749558677314,0.8863846472353568,3.3012404605736734e-05,3.7243881320262906e-05
"FP_(0.78, 0.85]",0.007153614457831325,0.6238149412210846,0.7894736842105263,0.08427597675506221,0.06126809223914111,0.0006533726733903844,0.010664158936761823
"FP_(0.85, 0.921]",0.06588855421686747,0.6287787182587666,0.5714285714285714,0.24808718757745107,0.35038974011056234,0.0006134253799339184,0.0017506944687945417
"FP_(0.921, 0.991]",0.9269578313253012,0.5927835051546392,0.6275385865150285,0.2602057076045747,0.37717522357996813,0.00024926639840472387,0.0006608769156118092
"attendance_(1795.433, 1436943.667]",0.6167168674698795,0.6149312377210217,0.6312576312576312,0.4861863560899414,0.9603278303254528,0.00019366919678009964,0.0002016698784148176
"attendance_(1436943.667, 2867799.333]",0.30384036144578314,0.6371011357490536,0.59727385377943,0.4599145531533867,0.8859347899487594,0.001027427873971254,0.0011597104952054973
"attendance_(2867799.333, 4298655]",0.07944277108433735,0.620040899795501,0.6824644549763034,0.2704285806026778,0.4002127098954834,0.0008960293595263735,0.002238882817490664
"BPF_(83.955, 99]",0.4559487951807229,0.6173010380622838,0.634186622625929,0.4980557110946192,0.9943936095827863,0.00021781088689043493,0.0002190389045056524
"BPF_(99, 114]",0.5372740963855421,0.6346623270951993,0.6166783461807989,0.4986087060397495,0.9959874380299385,0.0002476075344470807,0.0002486050777275344
"BPF_(114, 129]",0.00677710843373494,0.624715693707354,0.6666666666666666,0.0820437641445864,0.05857393648565343,3.7055363477866976e-05,0.0006326254593959718
"PPF_(85.957, 100.333]",0.5542168674698795,0.625,0.625,0.49705183963220523,0.9915017866855544,0.0,0.0
"PPF_(100.333, 114.667]",0.4378765060240964,0.6255860683188211,0.6242476354256233,0.4961256609934912,0.9888355026179251,1.3570140540153375e-06,1.3723354900007797e-06
"PPF_(114.667, 129]",0.007906626506024096,0.6246679316888045,0.6666666666666666,0.08856699025776076,0.06657141159142245,4.3279674720952954e-05,0.0006501240350224063
